

N,-505.671,538.666,336.078,0.000,
B,920.830,-1342.592,-462.090,
E,-415.074,484.866,129.093,
S,-0.086,319.061,-3.081,
B,-920.830,1342.592,462.090,
A,18.852,241.730,50.908,
C,876.505,-1887.705,89.468,
MW,25.472,303.382,-602.467,
E,415.074,-484.866,-129.093,
D,-73.784,-127.762,-9.040,
F,-341.289,612.627,138.133,
E,-0.000,0.000,-0.000,
V,-25.472,-303.382,602.467,
P,460.646,354.289,-663.122,
Q,38.536,-12.762,-8.333,
W,-473.709,-38.144,68.988,

N,-505.671,538.666,336.078,0.000,
B,933.611,-834.360,-333.430,
E,-427.912,401.184,-1.629,
S,-0.028,-105.490,-1.019,
B,-933.611,834.360,333.430,
A,175.338,-2235.929,-19.863,
C,742.205,1592.944,66.470,
MW,16.068,-191.374,-380.037,
E,427.912,-401.184,1.629,
D,-331.567,574.127,-40.624,
F,-96.345,-172.943,38.995,
E,-0.000,-0.000,-0.000,
V,-16.068,191.374,380.037,
P,290.576,-223.486,-418.298,
Q,24.308,8.051,-5.256,
W,-298.817,24.061,43.518,

N,-595.714,732.394,456.947,0.000,
B,1083.473,-1793.480,-618.736,
E,-487.653,663.068,165.633,
S,-0.107,398.017,-3.844,
B,-1083.473,1793.480,618.736,
A,4.174,55.109,74.854,
C,1045.197,-2254.751,112.981,
MW,34.102,406.163,-806.572,
E,487.653,-663.068,-165.633,
D,-60.196,-104.233,-7.375,
F,-427.457,767.301,173.009,
E,0.000,-0.000,0.000,
V,-34.102,-406.163,806.572,
P,616.705,474.315,-887.776,
Q,51.591,-17.086,-11.156,
W,-634.194,-51.067,92.360,

N,-243.409,208.869,126.114,0.000,
B,448.900,-308.019,-129.892,
E,-205.475,158.316,4.349,
S,-0.016,-59.166,-0.571,
B,-448.900,308.019,129.892,
A,79.313,-1011.355,-11.190,
C,363.306,778.148,29.862,
MW,6.281,-74.812,-148.564,
E,205.475,-158.316,-4.349,
D,-149.479,258.832,-18.314,
F,-55.996,-100.515,22.664,
E,-0.000,-0.000,-0.000,
V,-6.281,74.812,148.564,
P,113.592,-87.365,-163.521,
Q,9.503,3.147,-2.055,
W,-116.813,9.406,17.012,

N,0.000,520.447,324.711,-495.200,
B,224.884,-1377.090,-353.560,
E,270.420,464.901,32.632,
S,-0.105,391.742,-3.783,
B,-224.884,1377.090,353.560,
A,-78.018,-993.389,69.351,
C,282.964,-621.172,48.666,
MW,19.938,237.470,-471.576,
E,-270.420,-464.901,-32.632,
D,269.471,466.605,33.016,
F,0.949,-1.704,-0.384,
E,0.000,-0.000,0.000,
V,-19.938,-237.470,471.576,
P,360.567,277.317,-519.054,
Q,30.163,-9.990,-6.523,
W,-370.792,-29.857,54.000,

N,0.000,-11.631,-6.122,13.822,
B,-6.595,15.103,3.723,
E,-7.228,-9.088,2.344,
S,0.002,5.616,0.054,
B,6.595,-15.103,-3.723,
A,-1.806,23.035,0.190,
C,-4.617,-9.981,-0.535,
MW,-0.172,2.049,4.068,
E,7.228,9.088,-2.344,
D,-1.102,1.909,-0.135,
F,-6.126,-10.996,2.479,
E,0.000,0.000,0.000,
V,0.172,-2.049,-4.068,
P,-3.110,2.392,4.478,
Q,-0.260,-0.086,0.056,
W,3.199,-0.258,-0.466,

N,0.000,191.545,114.747,-224.477,
B,102.555,-527.036,-121.643,
E,121.966,168.173,8.512,
S,-0.045,167.318,-1.616,
B,-102.555,527.036,121.643,
A,-26.885,-342.319,24.026,
C,122.513,-267.232,18.192,
MW,6.928,82.515,-163.862,
E,-121.966,-168.173,-8.512,
D,109.768,190.070,13.449,
F,12.198,-21.897,-4.937,
E,0.000,-0.000,0.000,
V,-6.928,-82.515,163.862,
P,125.289,96.361,-180.359,
Q,10.481,-3.471,-2.266,
W,-128.842,-10.375,18.764,

N,0.000,191.545,114.747,-224.477,
B,107.100,-247.070,-75.893,
E,117.401,146.899,-37.972,
S,-0.025,-91.374,-0.882,
B,-107.100,247.070,75.893,
A,28.760,-366.802,-1.139,
C,74.756,162.418,10.014,
MW,3.584,-42.686,-84.767,
E,-117.401,-146.899,37.972,
D,18.102,-31.345,2.218,
F,99.299,178.245,-40.190,
E,-0.000,-0.000,-0.000,
V,-3.584,42.686,84.767,
P,64.813,-49.849,-93.302,
Q,5.422,1.796,-1.172,
W,-66.651,5.367,9.707,

